Proposal_Number,Grant_Number,Field_of_Science,Field_of_Science_Division,Field_of_Science_Directorate,Project_Type,Transaction_Type,Start_Date,End_Date
TRA120031,TRA120031,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Campus Champions,renewal,6/16/2014,6/15/2015
MCB140204,MCB140204,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,7/26/2014,7/25/2015
TRA120031,TRA120031,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,6/16/2015,6/15/2016
TRA120031,TRA120031,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,1/5/2018,1/4/2019
EAR060007,EAR060005T,Earth Sciences,Earth Sciences,Geosciences,,new,12/19/2005,12/31/2006
CCR060007,CCR060004T,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,,new,12/7/2005,12/31/2006
DMS060011,DMS060007T,Mathematical Sciences,Mathematical Sciences,Mathematical and Physical Sciences,,new,12/7/2005,12/31/2006
,CCR060006N,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,,new,12/8/2005,12/31/2006
MCA02N014,MCA02N014,Physics,Physics,Mathematical and Physical Sciences,,renewal,3/19/2004,3/31/2005
MCA02N014,MCA02N014,Physics,Physics,Mathematical and Physical Sciences,,renewal,10/1/2005,9/30/2006
MCA02N014,MCA02T014,Physics,Physics,Mathematical and Physical Sciences,,new,10/1/2005,9/30/2006
ASC040038,ASC040032T,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,5/28/2004,5/31/2005
AST050029,AST050021N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,7/1/2005,6/30/2006
AST050029,AST050022N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,7/1/2005,6/30/2006
DMS060014,DMS060010N,Mathematical Sciences,Mathematical Sciences,Mathematical and Physical Sciences,,new,4/1/2006,3/31/2007
MCA06N019,MCA06N019,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,4/1/2006,3/31/2007
MCA06N019,MCA06T019,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,4/1/2006,3/31/2007
MCA98N043,MCA98T043,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,4/1/2006,3/31/2007
MCA98N043,MCA98N043,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,4/1/2006,3/31/2007
EAR070016,EAR070015N,Earth Sciences,Earth Sciences,Geosciences,,new,5/24/2007,5/30/2008
CHE060043,CHE060050N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,7/1/2006,6/30/2007
CHE060043,CHE060051N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,7/1/2006,6/30/2007
CCR070007,CCR070005T,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,,new,1/8/2007,12/31/2007
MCA02N014,MCA02N014,Physics,Physics,Mathematical and Physical Sciences,,renewal,4/1/2007,3/31/2008
MCA02N014,MCA02N014,Physics,Physics,Mathematical and Physical Sciences,,renewal,5/1/2007,3/31/2008
DMR070031,DMR070031N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,4/1/2007,3/31/2008
DMR070031,DMR070031N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,1/1/2008,3/31/2008
DMR070031,DMR070032N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,4/1/2007,3/31/2008
AST070025,AST070040N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,7/1/2007,6/30/2008
STA090014,STA080000N,Center Systems Staff,Center Systems Staff,Other,,new,10/10/2007,5/31/2008
DMS060014,DMS060010N,Mathematical Sciences,Mathematical Sciences,Mathematical and Physical Sciences,,renewal,1/1/2008,12/31/2008
NCR080002,NCR080001N,Networking and Communications Research,Networking and Communications Research,Computer and Information Science and Engineering,,new,12/21/2007,12/31/2008
MCA02N014,MCA02N014,Physics,Physics,Mathematical and Physical Sciences,,renewal,4/1/2008,3/31/2009
AST080020,AST080013T,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,3/19/2008,3/31/2009
DMR070031,DMR070031N,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2008,3/31/2009
DMR080053,DMR080047N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,5/21/2008,5/31/2009
MCB080094,MCB080115N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,7/1/2008,6/30/2009
CCR080021,CCR080027T,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,,new,7/25/2008,7/31/2009
MCA98N043,MCA98N043,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,LRAC,renewal,10/1/2008,9/30/2009
STA090014,STA080000N,Center Systems Staff,Center Systems Staff,Other,,renewal,5/5/2008,5/31/2009
ASC090008,ASC090037,Performance Evaluation and Benchmarking,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,11/12/2008,11/12/2009
DMR090010,DMR090058,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,11/20/2008,11/20/2009
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,MRAC,renewal,1/1/2009,12/31/2009
PHY090075,PHY090075T,Elementary Particle Physics,Physics,Mathematical and Physical Sciences,Startup,new,2/7/2009,2/7/2010
MCA02N014,MCA02N014,Gravitational Physics,Physics,Mathematical and Physical Sciences,TRAC,renewal,4/1/2009,3/31/2010
CHE090087,CHE090087,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,4/16/2009,4/16/2010
STA090014,STA080000N,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,6/1/2009,6/1/2010
CCR080021,CCR080027T,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,renewal,8/1/2009,8/1/2010
CCR080021,CCR080021,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,renewal,8/1/2009,8/1/2010
CCR100004,CCR100004,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,11/7/2009,11/7/2010
EAR100006,EAR100006,Earth Sciences,Earth Sciences,Geosciences,Startup,new,11/17/2009,11/17/2010
DMR100007,DMR100007,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,TRAC,new,1/1/2010,12/31/2010
CTS100020,CTS100020,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,Startup,new,1/16/2010,1/16/2011
MCA02N014,MCA02N014,Gravitational Physics,Physics,Mathematical and Physical Sciences,TRAC,renewal,4/1/2010,3/31/2011
DMR100034,DMR100034,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,new,4/1/2010,3/31/2011
STA090014,STA080000N,Center Systems Staff,Center Systems Staff,Other,Staff,renewal,6/2/2010,6/2/2011
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,TRAC,renewal,7/1/2010,6/30/2011
CCR100022,CCR100022,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,TRAC,new,7/1/2010,6/30/2011
OCE100013,OCE100013,Ocean Sciences,Ocean Sciences,Geosciences,Startup,new,7/2/2010,7/2/2011
SEE100004,SEE100004,Science and Engineering Education,Science and Engineering Education,Other,Educational,new,8/14/2010,8/14/2011
CTS110026,CTS110026,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,TRAC,new,4/1/2011,3/31/2012
DMR100007,DMR100007,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,TRAC,renewal,7/1/2011,6/30/2012
MCA02N014,MCA02N014,Gravitational Physics,Physics,Mathematical and Physical Sciences,TRAC,renewal,7/1/2011,6/30/2012
AST110034,AST110034,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,new,7/1/2011,6/30/2012
CCR110030,CCR110030,Software Systems,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,8/17/2011,8/17/2012
CDA110014,CDA110014,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Campus Champions,new,9/9/2011,9/9/2012
DMR100034,DMR100034,Materials Research,Materials Research,Mathematical and Physical Sciences,XRAC,renewal,10/1/2011,9/30/2012
ASC120003,ASC120003,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,XRAC,new,1/1/2012,12/31/2012
CCR110030,CCR110030,Software Systems,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,1/26/2012,1/26/2013
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,XRAC,renewal,4/1/2012,3/31/2013
ASC120029,ASC120029,"Distributed and Parallel Processing, Vectorization",Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,6/2/2012,6/2/2013
DMR100007,DMR100007,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,XRAC,renewal,7/1/2012,6/30/2013
AST110034,AST110034,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,7/1/2012,6/30/2013
DMR100034,DMR100034,Experimental and Theoretical Geochemistry,Earth Sciences,Geosciences,XRAC,renewal,10/1/2012,9/30/2013
SEE100004,SEE100004,Science and Engineering Education,Science and Engineering Education,Other,Educational,renewal,8/15/2011,8/15/2012
SEE100004,SEE100004,Science and Engineering Education,Science and Engineering Education,Other,Educational,renewal,8/16/2012,8/15/2013
CTS110026,CTS110026,"Interfacial, Transport, and Separations Processes","Chemical, Thermal Systems",Engineering,XRAC,renewal,4/1/2013,3/31/2014
ASC120003,ASC120003,Gravitational Physics,Physics,Mathematical and Physical Sciences,XRAC,renewal,4/1/2013,3/31/2014
MCA02N014,MCA02N014,Gravitational Physics,Physics,Mathematical and Physical Sciences,XRAC,renewal,4/1/2013,3/31/2014
DMR100007,DMR100007,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,XRAC,renewal,7/1/2013,6/30/2014
ASC130032,ASC130032,"Distributed and Parallel Processing, Vectorization",Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,5/30/2013,5/29/2014
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,XRAC,renewal,7/1/2013,6/30/2014
AST130034,AST130034,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,7/1/2013,6/30/2014
PHY130036,PHY130036,Physics,Physics,Mathematical and Physical Sciences,Startup,new,7/23/2013,7/22/2014
CDA110014,CDA110014,Training,Training,Other,Campus Champions,renewal,7/31/2013,7/30/2014
MCB130231,MCB130231,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,9/19/2013,9/18/2014
ASC140002,ASC140002,"Visualization, Graphics, and Image Processing",Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,11/19/2013,11/18/2014
AST140012,AST140012,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,1/1/2014,12/31/2014
ASC140001,ASC140001,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,XRAC,new,1/1/2014,12/31/2014
MCB140065,MCB140065,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,XRAC,new,4/1/2014,3/31/2015
CTS110026,CTS110026,Environmental and Ocean Systems,Biological and Critical Systems,Engineering,XRAC,renewal,4/1/2014,3/31/2015
MCA02N014,MCA02N014,Gravitational Physics,Physics,Mathematical and Physical Sciences,XRAC,renewal,7/1/2014,6/30/2015
OCE140012,OCE140012,Ocean Sciences,Ocean Sciences,Geosciences,Startup,new,6/24/2014,6/23/2015
PHY130036,PHY130036,Physics,Physics,Mathematical and Physical Sciences,Startup,renewal,7/23/2014,7/22/2015
PHY140043,PHY140043,Physics,Physics,Mathematical and Physical Sciences,Research,new,10/1/2014,9/30/2015
DMS140038,DMS140038,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Research,new,10/1/2014,9/30/2015
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Research,renewal,10/1/2014,9/30/2015
OCE140014,OCE140014,Ocean Sciences,Ocean Sciences,Geosciences,Research,new,10/1/2014,9/30/2015
STA140009,STA140009,Center Systems Staff,Center Systems Staff,Other,Staff,new,10/30/2014,10/29/2015
CDA110014,CDA110014,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,2/13/2015,2/12/2016
CDA110014,CDA110014,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,11/19/2015,11/18/2016
CDA110014,CDA110014,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,2/13/2016,2/12/2017
PHY140043,PHY140043,Gravitational Physics,Physics,Mathematical and Physical Sciences,Research,renewal,4/1/2016,3/31/2017
DMR160040,DMR160040,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,4/12/2016,4/11/2017
DMR160086,DMR160086,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,5/23/2016,5/22/2017
OCE140014,OCE140014,Engineering,Engineering,Engineering,Research,renewal,7/1/2016,6/30/2017
ASC160071,ASC160071,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,XSEDE2 Staff Allocations,new,6/28/2016,6/27/2017
BIO170010,BIO170010,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,2/6/2017,2/5/2018
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Research,renewal,3/12/2017,3/31/2017
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Research,renewal,4/1/2017,3/31/2018
BCS170002,BCS170002,Environmental and Ocean Systems,Biological and Critical Systems,Engineering,Startup,new,3/17/2017,3/16/2018
ASC160071,ASC160071,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,XSEDE2 Staff Allocations,renewal,8/11/2017,8/10/2018
BIO170075,BIO170075,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,8/21/2017,8/20/2018
OCE140014,OCE140014,Engineering,Engineering,Engineering,Research,renewal,4/1/2018,3/31/2019
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Research,renewal,4/1/2018,3/31/2019
ASC180034,ASC180034,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,6/26/2018,6/25/2019
TRA180054,TRA180054,Training,Training,Other,Campus Champions,new,12/13/2018,12/12/2019
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Research,renewal,4/15/2019,6/30/2019
DMS060014,DMS060014,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Research,renewal,6/5/2019,6/30/2019
DMR060029,DMR060030N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,5/1/2006,5/1/2007
MCB100111,MCB100111,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,new,1/1/2010,12/31/2010
MCB100125,MCB100125,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,5/22/2010,5/22/2011
MCB100111,MCB100111,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,XRAC,renewal,1/1/2012,12/31/2012
DMS140003,DMS140003,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,11/14/2013,11/13/2014
MCB140194,MCB140194,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,6/25/2014,6/24/2015
DMS140050,DMS140050,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Research,new,1/1/2015,12/31/2015
DMS140050,DMS140050,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Research,renewal,4/1/2016,3/31/2017
MSS180016,MSS180016,Mechanics and Materials,Mechanical and Structural Systems,Engineering,Startup,new,9/13/2018,9/12/2019
MCB070084,MCB070087N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,7/17/2007,8/1/2008
ASC100003,ASC100003,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,10/30/2009,10/30/2010
DMS100020,DMS100020,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,TRAC,new,7/1/2010,6/30/2011
MCB110163,MCB110163,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,9/1/2011,9/1/2012
MCB120181,MCB120181,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,8/25/2012,8/24/2013
ASC130025,ASC130025,Performance Evaluation and Benchmarking,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,4/12/2013,4/11/2014
MCB130108,MCB130108,Biophysics,Molecular Biosciences,Biological Sciences,XRAC,new,7/1/2013,6/30/2014
CHE140116,CHE140116,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Research,new,10/1/2014,9/30/2015
ASC130025,ASC130025,Thermal Systems,"Chemical, Thermal Systems",Engineering,Startup,renewal,10/29/2014,10/28/2015
MCB140287,MCB140287,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,1/8/2015,1/7/2016
DDM150002,DDM150002,Operations Research and Production Systems,Design and Manufacturing Systems,Engineering,Startup,new,2/12/2015,2/11/2016
MCB130108,MCB130108,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,7/1/2015,6/30/2016
CHE140116,CHE140116,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,10/1/2015,9/30/2016
SEE150003,SEE150003,Science and Engineering Education,Science and Engineering Education,Other,Educational,new,9/18/2015,9/17/2016
SEE150003,SEE150003,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Educational,renewal,9/18/2016,9/17/2017
MCB160158,MCB160158,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,9/12/2016,9/11/2017
MCB130108,MCB130108,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,10/1/2016,9/30/2017
CHE140116,CHE140116,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,10/1/2016,9/30/2017
ASC130025,ASC130025,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,renewal,9/16/2016,9/15/2017
SEE150003,SEE150003,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Educational,renewal,9/18/2017,9/17/2018
MCB130108,MCB130108,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,10/1/2017,9/30/2018
CHE140116,CHE140116,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,4/1/2018,3/31/2019
BIO180023,BIO180023,Biological Sciences,Biological Sciences,Biological Sciences,Educational,new,3/15/2018,3/14/2019
CHE180028,CHE180028,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,4/20/2018,4/19/2019
SEE150003,SEE150003,Educational Infrastructure,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Educational,renewal,9/18/2018,9/17/2019
SES180017,SES180017,Economics,Social and Economic Science,"Social, Behavioral, and Economic Sciences",Startup,new,10/8/2018,10/7/2019
CHE050014,CHE050011N,Chemistry,Chemistry,Mathematical and Physical Sciences,,renewal,5/25/2006,5/30/2007
CHE070008,CHE070017N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,1/1/2007,12/31/2007
CHE070008,CHE070018N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,1/1/2007,12/31/2007
CHE080068,CHE080059T,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,6/5/2008,6/1/2009
CHE090005,CHE090017,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,10/14/2008,10/14/2009
CHE090005,CHE090018,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,10/14/2008,10/14/2009
CHE090078,CHE090078T,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,3/3/2009,3/3/2010
CHE090078,CHE090078,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,3/3/2009,3/3/2010
CHE110039,CHE110039,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,TRAC,new,4/1/2011,3/31/2012
CHE150037,CHE150037,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,6/2/2015,6/1/2016
CHE160060,CHE160060,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,new,10/1/2016,9/30/2017
CCR180034,CCR180034,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Educational,new,8/13/2018,8/12/2019
CHE160060,CHE160060,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,10/1/2018,9/30/2019
DMR130134,DMR130134,Solid State Chemistry and Polymers,Materials Research,Mathematical and Physical Sciences,Startup,new,8/16/2013,8/15/2014
DMR150007,DMR150007,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,4/1/2015,3/31/2016
CDA070004,CDA070003N,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,,new,4/1/2007,3/31/2008
CDA070004,CDA070003N,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,,renewal,4/16/2008,4/30/2009
CDA070004,CDA070003N,Special Projects,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Startup,renewal,5/1/2009,5/1/2010
AST140015,AST140015,Stellar Astronomy and Astrophysics,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,1/1/2014,12/31/2014
AST140015,AST140015,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,7/1/2015,6/30/2016
MCB060093,MCB060073T,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,6/28/2006,6/30/2007
CHE070058,CHE070058N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,5/14/2007,5/30/2008
DMR080036,DMR080033N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,3/11/2008,3/1/2009
DMR080036,DMR080033N,Solid State Chemistry and Polymers,Materials Research,Mathematical and Physical Sciences,Startup,renewal,3/2/2009,3/2/2010
DMR080036,DMR080036,Solid State Chemistry and Polymers,Materials Research,Mathematical and Physical Sciences,Startup,renewal,3/3/2010,3/3/2011
DMR080036,DMR080036,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,renewal,3/4/2011,3/4/2012
DMR080036,DMR080036,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,renewal,3/5/2012,3/5/2013
CHE130064,CHE130064,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,XRAC,new,7/1/2013,6/30/2014
CHE130064,CHE130064,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,1/1/2015,12/31/2015
DEB170007,DEB170007,Environmental Biology,Environmental Biology,Biological Sciences,Research,new,7/1/2017,6/30/2018
ASC090084,ASC090084,Performance Evaluation and Benchmarking,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,9/10/2009,9/10/2010
ASC090091,ASC090091,Algorithm Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,9/24/2009,9/24/2010
CHE100075,CHE100075,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,5/18/2010,5/18/2011
ASC090091,ASC090091,Training,Training,Other,Startup,renewal,9/25/2010,9/25/2011
TRA110018,TRA110018,Training,Training,Other,Startup,new,4/29/2011,4/29/2012
CCR130054,CCR130054,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Startup,new,6/28/2013,6/27/2014
MCB130166,MCB130166,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,7/20/2013,7/19/2014
CHE130101,CHE130101,Chemistry,Chemistry,Mathematical and Physical Sciences,XRAC,new,10/1/2013,9/30/2014
CHE140079,CHE140079,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,XRAC,new,7/1/2014,6/30/2015
BCS140006,BCS140006,Natural and Man-Made Hazard Mitigation,Biological and Critical Systems,Engineering,Startup,new,8/2/2014,8/1/2015
CHE140079,CHE140079,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,7/1/2015,6/30/2016
CIE150026,CIE150026,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Educational,new,9/24/2015,9/23/2016
CHE130101,CHE130101,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,4/1/2016,3/31/2017
CHE140079,CHE140079,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,7/1/2016,6/30/2017
GEO160011,GEO160011,Geosciences,Geosciences,Geosciences,Startup,new,11/30/2016,11/29/2017
CCR170008,CCR170008,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Educational,new,3/10/2017,3/9/2018
CHE140079,CHE140079,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Research,renewal,7/1/2017,6/30/2018
CHE130101,CHE130101,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,7/1/2017,6/30/2018
IBN170007,IBN170007,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Startup,new,7/5/2017,7/4/2018
ENG170021,ENG170021,Engineering,Engineering,Engineering,Startup,new,7/17/2017,7/16/2018
CIE170059,CIE170059,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Educational,new,12/7/2017,12/6/2018
CHE140079,CHE140079,Chemistry,Chemistry,Mathematical and Physical Sciences,Research,renewal,7/1/2018,6/30/2019
IBN180005,IBN180005,Neuroscience Biology,Integrative Biology and Neuroscience,Biological Sciences,Research,new,7/1/2018,6/30/2019
MIP180002,MIP180002,"Design, Tools, and Test",Microelectronic Information Processing Systems,Computer and Information Science and Engineering,Startup,new,10/4/2018,10/3/2019
PHY060049,PHY060035T,Physics,Physics,Mathematical and Physical Sciences,,new,8/3/2006,8/31/2007
CHE070023,CHE070026T,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,1/8/2007,12/31/2007
PHY080006,PHY080011N,Physics,Physics,Mathematical and Physical Sciences,,new,11/29/2007,11/30/2008
CHE080071,CHE080065T,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,6/23/2008,6/30/2009
CHE080091,CHE090011,Chemistry,Chemistry,Mathematical and Physical Sciences,DAC-TG,new,10/2/2008,10/2/2009
PHY090008,PHY090062,Gravitational Physics,Physics,Mathematical and Physical Sciences,Startup,new,11/19/2008,11/19/2009
CHE090075,CHE090075T,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,2/25/2009,2/25/2010
CHE090075,CHE090075,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,2/25/2009,2/25/2010
CHE100019,CHE100019,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,new,11/3/2009,11/3/2010
ASC100011,ASC100011,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,1/26/2010,1/26/2011
PHY090008,PHY090062,Gravitational Physics,Physics,Mathematical and Physical Sciences,Startup,renewal,5/20/2010,5/20/2011
CHE100084,CHE100084,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,new,5/22/2010,5/22/2011
CHE120029,CHE120029,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,1/31/2012,1/31/2013
CHE120039,CHE120039,Chemistry,Chemistry,Mathematical and Physical Sciences,Campus Champions,new,3/23/2012,3/23/2013
CHE120039,CHE120039,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,3/24/2013,3/23/2014
